Path object_type object_name object_size parant_directory
"C:\GeekBrains\Data Engineer\Python\Python_advanced_hws" Directory hw8 4892 Python_advanced_hws
"C:\GeekBrains\Data Engineer\Python\Python_advanced_hws\hw8\" File task.py 4892 
